M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Σ
1, OKZ,Olsztynski Klub Zeglarski,2,2,3,3,1,1,6,1,3,3,3,2,1,31
2, LEG,Legia Warszawa,1,1,1,1,5,4,2,2,1,4,4,5,2,33
3, JEZ,Yacht Club Jeziorak,3,5,3,2,2,3,2,2,1,1,2,4,6,36
4, POG,SEJK Pogon Szczecin,2,3,1,1,1,1,5,3,5,4,3,3,5,37
5, YCS,Yacht Club Sopot,1,2,5,4,3,3,3,7 (OCS),2,1,1,4,3,39
6, ODY,Odyssey Sailing Club,3,1,5,2,7 (OCS),5,1,3,2,2,4,2,2,39
7, YC2,Yacht Club Sopot 2,4,5,4,6,2,2,1,3.4 (RDG),5,3,1,1,4,41.4
8, JKM,Jacht Klub Gryf Gdynia,5,4,4,3,3,2,4,1,3,6,5,5,1,46
9, DZY,PZKS Dzygit Bialystok,4,3,2,5,4,5,4,5,4,5,5,1,6,53
10, WTZ,Warszawskie Towarzystwo Zeglarskie,6,4,2,7 (OCS),4,4,3,4,6,2,2,6,4,54
11, ZEG,RKS Lasery Zegrze,5,6,6,5,7 (OCS),6,5,7 (OCS),6,5,6,3,5,72
12, BOL,Sailing Team Boleslawiec,6,6,6,6,6,6,6,7 (RET),4,6,6,6,3,74
