M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,Σ
1,RMR,MBSW Rainmaker Giżycko,1,,,1,3,,,,2,,,1,1,1,,,,1,1,2,,,,5,6,,25
2,TZR,DTP PMT TŻR Szczecin,,,2,,1,,2,1,3,,,,2,,2,1,5,,6,1,,,,,2,,28
3,YCS,Yacht Club Sopot,,,,6,2,,1,,1,1,1,,,,1,2,,5,4,,,,,4,,3,31
4,DZY,PŻKS DŻYGIT Białystok,3,,,,5,1,4,,,,2,5,,,,,1,3,,4,,2,4,2,,,36
5,GKZ,Procad GKŻ Gdańsk,,5,3,,,,,2,6,,4,4,,,3,,2,,2,,4,,3,,,1,39
6,JKKP,Jacht Klub Kamień Pomorski,5,,4,,4,,,3,,3,,2,,6,5,,4,,,3,1,,,1,,,41
7,PGR,AZS Politechnika Gdańska,,3,,2,,7 (BFD),,4,,2,,,3,,,4,,2,,7 (DSQ),2,1,,,,4,41
8,MOS,SailingEvent MOS Iława,,4,1,,7 (DSQ),7 (OCS),,,,,3,,4,2,4,5,,,,,,,2,,1,2,42
9,JKW,HRM Racing JKW Poznań,,1,5,4,,2,5,,,,,3,,,6,3,,,,,6,3,,3,5,,46
10,SZT,Sztorm Grupa Warszawa,2,2,,,,,6,,,4,,6,5,,,,,,5,,5,5,1,6,,5,52
11,JKM,Windward Jacht Klub Gryf Gdynia,4,,6,3,,3,,,4,6,,,,4,,,3,4,,,,6,,,4,6,53
12,REW,Baltic Trans Yacht Club Rewa,,,,,,4,,5,5,5,5,,6,3,,,,6,,5,3,,5,,3,,55
13,AWK,AWF Katowice,6,6,,5,,,3,6,,,6,,,5,,6,6,,3,,,4,6,,,,62
