M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,Σ
1,JKKP,Jacht Klub Kamień Pomorski,,1,,1,1,,,4,3,,,,1,,11
2,TZR,DTP PMT TŻR Szczecin,2,,3,2,,,3,1,,,,2,,,13
3,RMR,MBSW Rainmaker Giżycko,,3,5,,,,2,,1,,,1,,2,14
4,SZT,Sztorm Grupa Warszawa,,,,,,,1,3,5,2,1,,2,,14
5,JKW,HRM Racing JKW Poznań,4,2,1,,2,,,,,,,4,,3,16
6,AWK,AWF Katowice,6,,4,,3,1,,,,,2,,,1,17
7,PGR,AZS Politechnika Gdańska,5,5,2,3,,,,,2,1,,,,,18
8,DZY,PŻKS DŻYGIT Białystok,,,,,,4,,2,,3,3,,3,4,19
9,JKM,Windward Jacht Klub Gryf Gdynia,1,,,5,5,3,4,,,,4,,,,22
10,YCS,Yacht Club Sopot,,6,,4,4,2,,,,,,3,,5,24
11,REW,Baltic Trans Yacht Club Rewa,3,,,,,,,,4,5,5,5,5,,27
12,GKZ,Procad GKŻ Gdańsk,,4,,,,5,5,5,,4,,,4,,27
