ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
483134412,2018321,OKZ,1.0,0,0
483234412,2018322,OKZ,4.0,0,0
483334412,2018323,OKZ,2.0,0,0
483434412,2018324,OKZ,2.0,0,0
483534412,2018325,OKZ,1.0,0,0
483634412,2018326,OKZ,2.0,0,0
483734412,2018327,OKZ,1.0,0,0
483834412,2018328,OKZ,7.0,1,0
483934412,2018329,OKZ,1.0,0,0
473034412,20183210,OKZ,1.0,0,0
473134412,20183211,OKZ,1.0,0,0
483195746,2018321,YCS,2.0,0,0
483295746,2018322,YCS,1.0,0,0
483395746,2018323,YCS,4.0,0,0
483495746,2018324,YCS,1.0,0,0
483595746,2018325,YCS,3.0,0,0
483695746,2018326,YCS,3.0,0,0
483795746,2018327,YCS,1.0,0,0
483895746,2018328,YCS,1.0,0,0
483995746,2018329,YCS,1.0,0,0
473095746,20183210,YCS,3.0,0,0
473195746,20183211,YCS,6.0,0,0
483148318,2018321,JKM,4.0,0,0
483248318,2018322,JKM,3.0,0,0
483348318,2018323,JKM,3.0,0,0
483448318,2018324,JKM,3.0,0,0
483548318,2018325,JKM,3.0,0,0
483648318,2018326,JKM,4.0,0,0
483748318,2018327,JKM,3.0,0,0
483848318,2018328,JKM,1.0,0,0
483948318,2018329,JKM,2.0,0,0
473048318,20183210,JKM,1.0,0,0
473148318,20183211,JKM,1.0,0,0
483160911,2018321,JEZ,3.0,0,0
483260911,2018322,JEZ,2.0,0,0
483360911,2018323,JEZ,1.0,0,0
483460911,2018324,JEZ,7.0,1,0
483560911,2018325,JEZ,2.0,0,0
483660911,2018326,JEZ,1.0,0,0
483760911,2018327,JEZ,4.0,0,0
483860911,2018328,JEZ,7.0,1,0
483960911,2018329,JEZ,4.0,0,0
473060911,20183210,JEZ,2.0,0,0
473160911,20183211,JEZ,2.0,0,0
483168836,2018321,ODY,6.0,0,0
483268836,2018322,ODY,2.0,0,0
483368836,2018323,ODY,5.0,0,0
483468836,2018324,ODY,1.0,0,0
483568836,2018325,ODY,4.0,0,0
483668836,2018326,ODY,1.0,0,0
483768836,2018327,ODY,5.0,0,0
483868836,2018328,ODY,2.0,0,0
483968836,2018329,ODY,2.0,0,0
473068836,20183210,ODY,4.0,0,0
473168836,20183211,ODY,5.0,0,0
483172748,2018321,LEG,1.0,0,0
483272748,2018322,LEG,1.0,0,0
483372748,2018323,LEG,1.0,0,0
483472748,2018324,LEG,4.0,0,0
483572748,2018325,LEG,5.0,0,0
483672748,2018326,LEG,6.0,0,0
483772748,2018327,LEG,5.0,0,0
483872748,2018328,LEG,5.0,0,0
483972748,2018329,LEG,3.0,0,0
473072748,20183210,LEG,4.0,0,0
473172748,20183211,LEG,4.0,0,0
483129558,2018321,POG,2.0,0,0
483229558,2018322,POG,6.0,0,0
483329558,2018323,POG,3.0,0,0
483429558,2018324,POG,4.0,0,0
483529558,2018325,POG,4.0,0,0
483629558,2018326,POG,5.0,0,0
483729558,2018327,POG,2.0,0,0
483829558,2018328,POG,3.0,0,0
483929558,2018329,POG,6.0,0,0
473029558,20183210,POG,2.0,0,0
473129558,20183211,POG,2.0,0,0
48313262,2018321,WTZ,5.0,0,0
48323262,2018322,WTZ,5.0,0,0
48333262,2018323,WTZ,6.0,0,0
48343262,2018324,WTZ,2.0,0,0
48353262,2018325,WTZ,1.0,0,0
48363262,2018326,WTZ,2.0,0,0
48373262,2018327,WTZ,2.0,0,0
48383262,2018328,WTZ,2.0,0,0
48393262,2018329,WTZ,3.0,0,0
47303262,20183210,WTZ,5.0,0,0
47313262,20183211,WTZ,7.0,1,0
483110749,2018321,YC2,3.0,0,0
483210749,2018322,YC2,3.0,0,0
483310749,2018323,YC2,2.0,0,0
483410749,2018324,YC2,7.0,1,0
483510749,2018325,YC2,5.0,0,0
483610749,2018326,YC2,3.0,0,0
483710749,2018327,YC2,4.0,0,0
483810749,2018328,YC2,4.0,0,0
483910749,2018329,YC2,6.0,0,0
473010749,20183210,YC2,5.0,0,0
473110749,20183211,YC2,4.0,0,0
483141078,2018321,BOL,6.0,0,0
483241078,2018322,BOL,6.0,0,0
483341078,2018323,BOL,4.0,0,0
483441078,2018324,BOL,6.0,0,0
483541078,2018325,BOL,2.0,0,0
483641078,2018326,BOL,6.0,0,0
483741078,2018327,BOL,6.0,0,0
483841078,2018328,BOL,4.0,0,0
483941078,2018329,BOL,5.0,0,0
473041078,20183210,BOL,3.0,0,0
473141078,20183211,BOL,3.0,0,0
483127184,2018321,DZY,4.0,0,0
483227184,2018322,DZY,4.0,0,0
483327184,2018323,DZY,5.0,0,0
483427184,2018324,DZY,5.0,0,0
483527184,2018325,DZY,6.0,0,0
483627184,2018326,DZY,4.0,0,0
483727184,2018327,DZY,6.0,0,0
483827184,2018328,DZY,3.0,0,0
483927184,2018329,DZY,4.0,0,0
473027184,20183210,DZY,6.0,0,0
473127184,20183211,DZY,5.0,0,0
483122441,2018321,ZEG,5.0,0,0
483222441,2018322,ZEG,5.0,0,0
483322441,2018323,ZEG,6.0,0,0
483422441,2018324,ZEG,3.0,0,0
483522441,2018325,ZEG,7.0,1,0
483622441,2018326,ZEG,5.0,0,0
483722441,2018327,ZEG,3.0,0,0
483822441,2018328,ZEG,5.0,0,0
483922441,2018329,ZEG,5.0,0,0
473022441,20183210,ZEG,6.0,0,0
473122441,20183211,ZEG,3.0,0,0
