M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,Σ
1,MOS,SailingEvent MOS Iława,2,,1,2,,3,,,3,1,,,,1,,4,2,,2,,,2,3,,,,26
2,PGR,AZS Politechnika Gdańska,,3,3,,3,2,,,,,1,,2,,3,5,,1,3,,,,,1,,1,28
3,YCS,Yacht Club Sopot,,,,1,1,,1,,1,3,2,,,,,,1,3,,3,,3,4,6,,,29
4,RMR,MBSW Rainmaker Giżycko,,2,2,,,,,1,4,,4,6,,,1,1,,,,,1,6,,3,2,,33
5,JKKP,Jacht Klub Kamień Pomorski,6,,,,2,1,3,,,,3,5,,4,,,,2,1,1,,,,4,1,,33
6,TZR,DTP PMT TŻR Szczecin,5,1,,4,,,2,4,,,5,,,2,6,,4,,,2,5,,,2,,,42
7,AWK,AWF Katowice,,,,,,4,,3,5,2,6,,4,,,,,,4,,2,1,2,5,,4,42
8,GKZ,Procad GKŻ Gdańsk,4,,,5,4,,,,2,,,4,6,3,,,3,4,,,,4,,,5,3,47
9,JKW,HRM Racing JKW Poznań,,6,6,3,,6,4,,,,,2,,,2,2,5,,5,4,,,,,6,,51
10,JKM,Windward Jacht Klub Gryf Gdynia,,,5,,5,,5,2,6,,,,3,,,3,,5,,5,3,5,,,,5,52
11,DZY,PŻKS DŻYGIT Białystok,,5,,6,,5,,5,,4,,,1,,4,,,6,7 (OCS),,4,,5,,,2,54
12,SZT,Sztorm Grupa Warszawa,1,,4,,7 (OCS),,,6,,6,,3,,5,,6,6,,,,6,,1,,4,,55
13,REW,Baltic Trans Yacht Club Rewa,3,4,,,,,6,,,5,,1,5,6,5,,,,,6,,,6,,3,6,56
