M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Σ
1, OKZ,Olsztyński Klub Żeglarski,1,2,2,1,2,1,4,1,3,1,3,1,4,1,3,30
2, LEG,Legia Warszawa,1,3,1,2,2,2,3,3,4,4,2,4,1,2,1,35
3, JEZ,Jeziorak Yacht Club,3,4,2,3,4,4,2,1,1,2,1,1,3,5,2,38
4, GIŻ,Giżycka Grupa Regatowa,2,3,5,2,1,1,1,6,6,1,1,6,1,3,2,41
5, IS2,KS Iskra AMW Gdynia,7 (OCS),5,1,3,3,2,2,2,1,3,2,2,3,5,1,42
6, SZT,Sztorm Grupa,3,1,3,1,3,5,1,2,3,5,3,5,2,4,5,46
7, POG,SEJK Pogoń Szczecin,5,1,4,4,1,3,5,4,2,2,4,5,2,1,4,47
8, DZY,PZKS Dżygit Białystok,2,4,6,5,6,5,4,3,4,4,5,3,5,3,3,62
9, YCS,Yacht Club Sopot,4,6,5,5,4,3,3,4,2,6,6,3,5,2,6,64
10, JKM,JKM Gryf Gdynia,4,5,3,6,5,6,5,5,5,5,4,2,4,4,4,67
11, OD2,Odyssey Sailing Club,5,2,4,4,5,4,6,6,5,3,5,4,6,6,6,71
12, ODY,Odyssey Sailing Club,7 (OCS),6,6,6,6,6,6,5,6,6,6,6,6,6,5,89
