M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Σ
1, YG2,Yacht Club Gdańsk 2,2,1,3,1,2,2,1,2,4,1,2,2,1,5,1,30
2, PGR,AZS Politechnika Gdańska,3,6,1,1,3,4,2,2,1,2,1,1,3,2,2,34
3, PJK,Puchar Polski Jachtów Kabinowych,1,3,6,3,1,1,2,1,5,2,4,7 (OCS),1,5,2,44
4, GAR,KW Garland Gliwice,4,4,1,2,5,5,3,4,2,1,3,2,3,3,3,45
5, ODY,Odyssey Sailing Club,3,4,4,2,4,3,1,4,3,3,6,1,5,2,1,46
6, SPO,Sport Vita Ski&Sail,4,1,2,4,1,7 (OCS),5,1,3,3,3,4,2,1,6,47
7, JMZ,JK Między Żaglami,1,2,4,3,5,6,4,3,4,4,4,3,4,4,3,54
8, JSG,Jachtklub Stoczni Gdańskiej,2,3,2,4,6,1,3,6,5,6,5,5,4,3,4,59
9, LAS,RKS Lasery Zegrze,6,6,3,5,6,3,4,5,6,4,2,6,2,1,5,64
10, NAV,UKS Navigo,5,5,5,5,2,5,6,6,1,5,1,3,5,4,7 (OCS),65
11, LE2,Legia Warszawa 2,5,2,6,6,4,2,5,3,2,5,5,5,6,6,5,67
12, POW,SKŻ Powidz,6,5,5,6,3,4,6,5,6,6,6,4,6,6,4,78
