M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,Σ
1, YKP,Yacht Klub Polski Gdynia,3,2,2,1,1,2,11
2, YCG,Yacht Club Gdańsk,2,1,3,2,1,4,13
3, GIŻ,Giżycka Grupa Regatowa,1,2,3,4,4,1,15
4, OKŻ,Olsztyński Klub Żeglarski,3,4,1,3,2,3,16
5, LEG,Legia Warszawa,1,6,2,1,3,5,18
6, ISK,KS Iskra AMW Gdynia,5,3,1,4,5,3,21
7, SZT,Sztorm Grupa,4,1,4,7 (DNF),2,5,23
8, YCS,Yacht Club Sopot,2,5,5,2,5,4,23
9, DŻY,PZKS Dżygit Białystok,4,4,4,6,6,1,25
10, POG,SEJK Pogoń Szczecin,6,5,6,3,4,2,26
11, WOL,UKS Albatros Wolin,5,6,6,5,3,6,31
12, 77R,77 Racing,6,3,5,5,6,6,31
