M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Σ
1, YKP,Yacht Klub Polski Gdynia,6,4,1,1,3,1,1,2,1,2,2,24
2, GIŻ,Giżycka Grupa Regatowa,3,2,2,3,1,5,1,2,2,1,2,24
3, YCG,Yacht Club Gdańsk,2,1,3,1,4,4,3,1,4,4,1,28
4, SZT,Sztorm Grupa,1,2,3,3,2,3,5,6,1,1,3,30
5, POG,SEJK Pogoń Szczecin,5,5,4,5,2,3,4,1,2,2,1,34
6, OKŻ,Olsztyński Klub Żeglarski,5,1,6,6,1,1,2,4,3,3,6,38
7, ISK,KS Iskra AMW Gdynia,4,3,2,2,5,2,4,3,6,3,4,38
8, WOL,UKS Albatros Wolin,1,4,5,5,4,2,5,3,4,5,4,42
9, LEG,Legia Warszawa,3,6,5,4,3,6,2,5,5,5,3,47
10, YCS,Yacht Club Sopot,4,5,1,4,5,6,6,4,3,6,5,49
11, DŻY,PZKS Dżygit Białystok,2,3,4,6,6,5,3,5,5,6,6,51
12, 77R,77 Racing,6,6,6,2,6,4,6,6,6,4,5,57
