M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Σ
1, YCG,Yacht Club Gdańsk,1,3,2,1,1,3,4,2,1,2,20
2, YKP,Yacht Klub Polski Gdynia,4, 10 (DNF),1,2,4,1,1,3,1,3,30
3, OKZ,Olsztyński Klub Żeglarski,1,1,2,4,2,1,5,6,7,2,31
4, POG,SEJK Pogoń Szczecin,2,1,5,5,6,5,2,1,3,1,31
5, PGR,AZS Politechnika Gdańska,4,2,1,3,2,2,4,4,4,5,31
6, GIZ,Giżycka Grupa Regatowa,5,4,6,3,4,3,1,4,2,4,36
7, SZT,Sztorm Grupa,6,5,3,2,3,4,2,7,4,1,37
8, ISK,KS Iskra AMW Gdynia,2,2,4,8,8,2,3.8 (RDG),1,5,7,42.8
9, LEG,Legia Warszawa,6,5,4,1,9,8,5,2,2,3,45
10, YCS,Yacht Club Sopot,8,4,8,4,3,5,8,5,3,6,54
11, PJK,Stowarzyszenie PPJK,7,6,3,5,7,6,7,6,9,4,60
12, GAR,KW Garland Gliwice,9,9,5,6,1,9,6,5,6,5,61
13, ODY,Odyssey Sailing Club,3,8,9,7,6,8,3,3,8,8,63
14, JMZ,JK Między Żaglami,8,7,6,7,8,4,3,8,7,9,67
15, WOL,UKS Albatros Wolin,10 (OCS),7,9,6,5,7,6,10 (DNF),5,6,71
16, SPO,Sport Vita Ski&Sail,3,3,8,10 (OCS),7,7,9,8,8,9,72
17, DZY,PŻKS Dżygit Białystok,5,6,7,8,9,6,7,9,10 (OCS),7,74
18, JSG,Jachtklub Stoczni Gdańskiej,7,8,7,9,5,9,8,7,6,8,74
