M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Σ
1, BLX,Balex YKP Gdynia,2,6,5,3,4,2,2,1,5,1,2,6,2,2,43
2, LEG,Legia Warszawa,9,6,3,4,1,1,2,10 (OCS),3,5,4,3,4,1,56
3, POG,Pogoń Szczecin,8,3,8,6,1,2,1,3,4,3,3,2,7,6,57
4, PGR,AZS Politechnika Gdańska,6,5,7,4,4,5,1,5,2,4,5,1,8,3,60
5, YCG,Yacht Club Gdańsk,5,1,1,3,3,4,3,8,7,6,3,7,10 (OCS),1,62
6, AWF,AZS AWFiS Gdańsk,6,7,3,8,5,3,6,2,6,2,2,5,3,4,62
7, YKS,YKP Szczecin,7,4,2,2,2,1,5,5,3,8,1,8,7,8,63
8, WAT,AZS WAT Warszawa,1,3,2,5,2,7,8,4,7,3,8,8,3,2,63
9, ISK,KS Iskra AMW Gdynia,5,4,9,5,7,6,6,1,2,5,4,1,6,6,67
10, SZT,Sztorm Grupa,3,8,5,9,6,6,3,2,1,7,7,5,1,5,68
11, SPO,Sport Vita Ski&Sail,7,2,4,1,8,9,9,6,1,6,8,4,1,3,69
12, YCB,Yacht Club Białołęka,1,2,4,8,3,7,5,7,8,7,1,2,8,7,70
13, WRO,UKS Żeglarz Wrocław,3,5,6,6,5,3,4,6,6,1,9,3,9,5,71
14, JNG,Junga Gdynia Olsztyński Klub Żeglarski,4,1,6,1,10 (OCS),8,7,7,4,2,7,4,6,8,75
15, GGR,Giżycka Grupa Regatowa Nowy Sztynort Osada Wolności,9,7,1,2,8,9,7,4,5,4,6,6,4,9,81
16, YCS,Yacht Club Sopot,2,9,7,7,6,8,8,3,8,8,6,9,2,7,90
17, ODY,Odyssey Sailing Club,4,9,8,9,9,4,9,8,9,9,5,7,5,4,99
18, GAR,Miasto Gliwice KW Garland,8,8,9,7,7,5,4,9,9,9,9,9,5,9,107
