M-sce,Skrót,Klub,F1,F2,F3,F4,F5,Σ
1, WOL,UKS Albatros Wolin,3,2,3,2,4,14
2, SPO,Sport Vita Ski&Sail,1,3,4,3,5,16
3, OCC,Ocean Challenge Yacht Club,7,1,5,1,3,17
4, NIE,KS Marina Niesulice,3,8,1,5,2,19
5, KKZ,Kościański Klub Żeglarski,1,1,8,2,8,20
6, YCB,Yacht Club Białołeka,2,4,2,5,8,21
7, PJK,Stowarzyszenie PPJK,6,2,3,3,7,21
8, SLA,Slava Racing,2,5,8,1,6,22
9, GRP,Grupa Regatowa Powidz,5,6,9,4,1,25
10, GAR,KW Garland,8,4,1,8,5,26
11, JSG,Jachtklub Stoczni Gdańskiej,7,7,2,4,6,26
12, HAL,Klub Żeglarski HALS Gostynin,4,5,6,10 (OCS),2,27
13, NAV,UKS Navigo,8,3,7,6,3,27
14, YS2,Yacht Club Sopot 2,4,9,6,8,1,28
15, POW,SKŻ Powidz,6,8,4,9,7,34
16, MEW,Małe Elektrownie Wodne Micro Class,5,9,5,6,9,34
17, ODY,Odyssey Sailing Club,10 (OCS),6,9,7,4,36
18, ETI,Etisoft 2KMM Sailing Team,10 (DNF),7,7,7,9,40
