M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Σ
1, SLA,Slava Racing,2,1,6,3,1,1,3,6,2,2,3,2,3,35
2, WOL,UKS Albatros Wolin,7,4,2,1,3,1,1,2,3,3,5,8,5,45
3, NIE,KS Marina Niesulice,3,6,8,4,5,2,3,1,1,6,1,1,7,48
4, NAV,UKS Navigo,7,1,1,7,5,7,2,3,5,5,2,2,1,48
5, PJK,Stowarzyszenie PPJK,1,7,7,3,3,9,4,2,3,5,1,3,3,51
6, GAR,KW Garland,3 (SCP),5,5,1,6,3,1,10 (OCS),1,3,3,6,5,52
7, SPO,Sport Vita Ski&Sail,4,2,6,2,8,4,2,3,4,1,9,7,1,53
8, OCC,Ocean Challenge Yacht Club,6,7,1,5,4,2,6,7,2,2,8,1,10 (OCS),61
9, JSG,Jachtklub Stoczni Gdańskiej,5,2,3,5,2,4,8,8,4,6,4,6,6,63
10, KKZ,Kościański Klub Żeglarski,9,3,3,6,1,8,4,5,9,7,5,4,2,66
11, YS2,Yacht Club Sopot 2,8,8,4,6,8,5,7,4,6,1,4,5,2,68
12, YCB,Yacht Club Białołeka,8,4,2,9,2,6,7,4,6,9,8,3,4,72
13, POW,SKŻ Powidz,5,5,8,9,4,5,5,7,7,4,2,5,6,72
14, ODY,Odyssey Sailing Club,4,3,7,2,7,9,5,5,8,8,6,9,4,77
15, HAL,Klub Żeglarski HALS Gostynin,2,8,9,7,7,8,6,1,5,7,7,9,8,84
16, ETI,Etisoft 2KMM Sailing Team,6,9,4,8,6,3,10 (OCS),9,7,4,7,4,7,84
17, MEW,Małe Elektrownie Wodne Micro Class,3,9,5,8,9,6,9,6,10 (DNF),8,9,7,10 (OCS),99
18, GRP,Grupa Regatowa Powidz,10 (DNF),6,10 (OCS),4,9,7,8,8,8,9,6,8,9,102
