M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Σ
1, MEC,Port Mechelinki,,3,3,1,2,,4,3,1,2,,1,2,2,1,25
2, YKW,YKP Warszawa,2,2,6,3,,1,1,1,3,,2,2,3,5,,31
3, BSA,BSA Flota Gdynia,6,,2,4,1,3,,4,6,1,1,,4,1,7,40
4, ONB,Onboard,1,1,1,6,,5,2,5,4,,5,3,1,6,,40
5, YZ2,YKP Szczecin 2,7,,7,2,7,7,,2,5,3,3,,5,3,2,53
6, NSZ,Jachtklub Nowy Sztynort,3,4,,5,6,4,3,,2,5,7,4,,4,6,53
7, SOL,KS Puchar Soliny,4,5,5,,4,2,7,6,,6,4,8,6,,5,62
8, RBP,Regatta Business Poland,5,8,4,,3,6,6,7,,8,6,6,8,,4,71
9, HEA,Hear Studio Sailing Team,,6,8,8,5,,8,8,8,4,,5,7,7,8,82
10, SRC,Symfonia Racing,8,7,,7,8,8,5,,7,7,8,7,,8,3,83
11, R2S,R2 Sailing Team,9 (DNC),9 (DNC),9 (DNC),9 (DNC),,9 (DNC),9 (DNC),9 (DNC),9 (DNC),,9 (DNC),9 (DNC),9 (DNC),9 (DNC),,108
