M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,Σ
1, BSA,BSA Flota Gdynia,1,7,2,3,,2,2,1,2,,2,1,1,2,,5,4,4,2,,41
2, NSZ,Jachtklub Nowy Sztynort,3,1,1,,3,1,4,2,,4,1,7,4,,2,2,3,1,,5,44
3, MEC,Port Mechelinki,,2,3,1,1,,3,5,1,3,,4,3,4,5,,2,9 (OCS),5,1,52
4, ONB,Onboard,,3,4,8,2,,5,3,4,2,,2,2,1,4,,8,2,1,2,53
5, YKW,YKP Warszawa,4,4,,2,4,3,1,,5,1,9 (OCS),3,,6,3,4,1,,6,4,60
6, AZS,AZS Poznań,7,,6,5,6,6,,4,3,5,4,,7,7,1,8,,5,3,6,83
7, YZ2,YKP Szczecin 2,2,5,,6,5,5,6,,7,9 (DNF),3,5,,8,6,1,6,,8,7,89
8, RBP,Regatta Business Poland,5,,5,4,7,4,,7,8,9 (DNF),7,,6,3,7,7,,3,4,3,89
9, SRC,Symfonia Racing,6,8,8,7,,7,8,8,6,,5,8,5,5,,3,7,7,7,,105
10, HEA,Hear Studio Sailing Team,9 (RET),6,7,,8,8,7,6,,6,8 (SCP),6,8,,8,6,5,6,,8,112
