M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,Σ
1, YKL,Lubelskie YKP Lublin,3,4,4,1,2,2,1,1,2,20
2, YCG,Yacht Club Gdańsk,4,3,5,4,2,2,1,7,1,29
3, YKP,YKP Gdynia,6,1,6,3,1,5,2,6,4,34
4, YCS,Yacht Club Sopot,4,5,7,1,6,3,3,4,2,35
5, SZT,Sztorm Grupa Warszawa,5,4,1,5,1,4,8,3,8,39
6, HRM,HRM Racing,10 (OCS),6,4,2,3,1,6,4,3,39
7, YKS,YKP Szczecin,1,7,2,3,3,8,4,5,6,39
8, LEG,Legia Warszawa,3,8,1,4,8,6.5,6,6,1,43.5
9, WAT,AZS WAT Warszawa,5,10 (OCS),2,5,4,1,7,5,5,44
10, NSO,Nowy Sztynort Osada Wolności Giżycka Grupa Regatowa,6,6,3,10 (OCS),5,6.5,5,2,3,46.5
11, POG,Pogoń Szczecin,1,2,5,7,9,4,8,2,9,47
12, RSR,On Lemon Rockstars Racing,2,3,3,6,6,5,7,9,6,47
13, ISK,KS Iskra AMW Gdynia,8,2,8,2,7,6,5,1,9,48
14, WRO,UKS Żeglarz Wrocław,2,1,8,6,9,9,3,8,7,53
15, PGR,AZS Politechnika Gdańska,8,7,7,8,7,3,2,7,4,53
16, AWF,AZS AWFiS Gdańsk,7,5,6,7,4,9,9,8,8,63
17, POL,Polsporty Sailing,7,9,9,9,5,7,4,9,5,64
18, OKZ,Olsztyński Klub Żeglarski,9,8,9,8,8,8,9,3,7,69
