M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Σ
1, POG,Pogoń Szczecin,3,5,3,1,2,2,1,6,3,1,4,6,37
2, YKS,YKP Szczecin,8,3,7,4,6,3,1,3,1,3,3,2,44
3, HRM,HRM Racing,1,2,4,3,3,4,8,6,2,1,7,8,49
4, YCG,Yacht Club Gdańsk,7,1,1,5,7,6,2,2,1,2,6,10 (OCS),50
5, NSO,Nowy Sztynort Osada Wolności Giżycka Grupa Regatowa,6,1,9,7,4,2,4,1,6,4,6,2,52
6, YCS,Yacht Club Sopot,4,2,4,1,5,9,2,7,5,4,5,4,52
7, LEG,Legia Warszawa,4,6 (SCP),2,3,2,7,7,4,2,7,5,3,52
8, WAT,AZS WAT Warszawa,2,10 (OCS),2,2,1,1,4,8,7,9,1,7,54
9, RSR,On Lemon Rockstars Racing,3,7,7,6,1,9,3,8,7,5,2,1,59
10, YKP,YKP Gdynia,1,8,1,5,3,6 (SCP),8,5,9,5,8,1,60
11, YKL,Lubelskie YKP Lublin,5,6,3,7,8,8,5,2,3,2,7,4,60
12, WRO,UKS Żeglarz Wrocław,5,6,6,4,6,1,6,9,4,8,1,7,63
13, AWF,AZS AWFiS Gdańsk,9,4,5,6,7,5,5,1,5,7,4,5,63
14, PGR,AZS Politechnika Gdańska,8,3,8,2,9,6,7,5,4,9,2,3,66
15, SZT,Sztorm Grupa Warszawa,2,8,9,8,8,4,9,3,8,6,9,5,79
16, POL,Polsporty Sailing,8 (SCP),4,5,9,10 (SCP),5,9,10 (OCS),8,3,3,6,80
17, OKZ,Olsztyński Klub Żeglarski,6,9,8,9,4,7,3,7,6,8,9,9,85
18, ISK,KS Iskra AMW Gdynia,9,7,6,8,5,8,6,4,9,6,8,10 (OCS),86
