M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,Σ
1, WRO,UKS Żeglarz Wrocław,1,2,6,2,6,2,3,22
2, YKP,YKP Gdynia,3,5,2,2,5,5,1,23
3, YCG,Yacht Club Gdańsk,2,6,4,1,1,5,7,26
4, WAT,AZS WAT Warszawa,6,1,9 (SCP),3,3,2,3,27
5, LEG,Legia Warszawa,1,3,5,5,5,4,5,28
6, POG,Pogoń Szczecin,7,4,1,8,7,1,2,30
7, YKS,YKP Szczecin,7,1,6,6,2,3,8,33
8, NSO,Nowy Sztynort Osada Wolności Giżycka Grupa Regatowa,3,7,2,1,7,7,6,33
9, AWF,AZS AWFiS Gdańsk,4,3,3,8,4,10 (DNF),1,33
10, YCS,Yacht Club Sopot,10 (OCS),2,4,3,4,4,8,35
11, ISK,KS Iskra AMW Gdynia,5,4,8,9,3,6,2,37
12, PGR,AZS Politechnika Gdańska,4,7,9,7,2,6,4,39
13, OKZ,Olsztyński Klub Żeglarski,2,8,8,4,5.5 (RDG),5.5 (RDG),7,40
14, POL,Polsporty Sailing,5,8,3,4,9,7,4,40
15, HRM,HRM Racing,9,9,9,7,1,3,5,43
16, SZT,Sztorm Grupa Warszawa,6,9,1,9,6,8,6,45
17, RSR,On Lemon Rockstars Racing,8,5,7,5,10 (OCS),1,10 (RET),46
18, YKL,Lubelskie YKP Lublin,8,6,5,6,8,8,10 (DNF),51
