M-sce,Zespół,Skład,F1,F2,F3,F4,F5,F6,F7,Σ
1,YKP Szczecin ,"Kwaśna, Dzik, Brzozowska, Gołębiowska",1,1,1,4,2,2,1,12
2,AZS Uniwersytet Warszawski ,"Łapińska, Laskowska, Oleksiuk, Harc",6,2,1,1,1,2,2,15
3,Olsztyński Klub Żeglarski,"Bartosiewicz, Sołtaniuk, Goralska, Janowczyk",1,1,4,3,2,3,1,15
4,MOWI Women Sailing Team ,"Remizowicz, Ruwińska, Groth, Łobasiuk, Morawiec",2,2,2,1,4,5,4,20
5,Energa GGR ,"Jaroszek, Rogalska, Niezabitowska, Placzke",3,3,3,2,5,1,3,20
6,Regatowa Reprezentacja Szczecina," Cymerman, Grudzień, Górnisiewicz, Ołowiak",3,4,3,3,3,1,3,20
7,Inplag Sailing Sisters ,"Rutkowska, Lewandowska, Bobrowska, Woźnicka",2,8 (SCP),2,2,1,3,4,22
8,YKP Szczecin 2 / COR ,"Kościuczuk, Petri, Maciuszko, Wojtysiak",5,6,4,4,3,4,2,28
9,Auto Podlasie ,"Dembowska, Skowronska, Bachorz, Bunar",4,3,5,5,5,4,5,31
10,Vega Cleo Sailing Team / COR ,"Osińska, Kurant, Klimaszyk, Kaminska-Skrzypczak",6,7,6,5,4,6,6,40
11,YKP Warszawa / COR ,"Gajewska, Krusiec - Cebo, Pełka, Fajfer",4,6,6,6,6,7,7,42
12,Sailing Factory Club / COR ,"Rumplewicz, Miller, Majewska, Kucel",7,8 (TLE),5,6,6,5,5,42
13,Sunloox Sailing Team USA / COR ,"Marach, Malczewska, Węgrzyniak, Zakrzewska",5,4,7,7,7,7,8 (TLE),45
14,4ATEAM / COR ,"Reszka, Mariańska, Jankowska, Kromiszewska",7,5,8 (SCP),7,7,6,8 (TLE),48
