M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Fi 1,Σ
1,OGR,Olsztyńska Grupa Regatowa,7,4,2,3,10,2,2,1,2,3,3,39
2,PRN,Fundacja Żeglarska PRO NAUTIS,1,4,5,1,1,5,3,5,7,4,4,40
3,PGR,AZS Politechnika Gdańska,5,5,7,1,2,2,7,2,1,2,7,41
4,SLA,Slava Racing,4,1,4,2,5,1,3,4,6,5,8,43
5,GAR,KW Garland,2,2,2,5,6,6,9,1,4,3,6,46
6,FLO,WKS Flota Gdynia,9,7,8,4,4,1,1,6,3,6,1,50
7,YKW,YKP Warszawa,4,6,7,4,9,3,5,6,4,1,2,51
8,MAG,MAG Mechelinki,8,5,1,3,8,4,4,3,10 (OCS),1,5,52
9,TXT,Texet – JKW Sailing Team,3,1,6,5,2,7,1,8,6,9,9,57
10,TBD,The Barking Dogs YCG,3,3,3,9,4,4,6,7,5,5,,49
11,JSG,MOWI Jacht Klub Stoczni Gdańskiej,8,7,8,9,1,5,4,3,2,4,,51
12,OKZ,Olsztyński Klub Żeglarski,1,9,3,2,3,8,9 (SCP),9,1,8,,53
13,WOL,UKS Albatros Woiln,5,8,4,7,8,7,2,2,3,7,,53
14,KKZ,Kościański Klub Żeglarski,6,2,1,8,7,3,9,5,8,7,,56
15,YCB,Yacht Club Białołęka,6,9,6,6,3,9,5,7,7,2,,60
16,HAL,KŻ Hals Gostynin,2,3,5,6,5,10,8,9,8,6,,62
17,NAV,UKS Navigo,7,6,9,7,6,6,8,8,5,9,,71
18,YS2,Yacht Club Sopot 2,9,8,9,8,7,8,6,4,9,8,,76
