M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Fi 1,Σ
1,PGR,AZS Politechnika Gdańska,2,4,1,1,5,7,2,1,1,7,2,1,1,3,4,5,47
2,FLO,WKS Flota Gdynia,5,2,5,6,5,6,1,2,6,1,3,3,2,1,7,3,58
3,NAV,UKS Navigo,1,3,2,2,6,1,7,5,5,5,1,10 (OCS),4,5,3,2,62
4,SLA,Slava Racing,5,6,3,3,8,2,4,6,7,9,1,5,3,4,2,1,69
5,OGR,Olsztyńska Grupa Regatowa,2,3,8,1,4,3,5,3,8,2,4,3,8,8,1,6,69
6,WOL,UKS Albatros Wolin,8,9,1,4,1,2,5,8,2,1,4,8,3,4,1,9,70
7,GAR,KW Garland,4,5,6,3,3,9,8,3,3,4,5,2,4,2,3,7,71
8,YKW,YKP Warszawa,7,7,8,2,4,6,7,1,3,5,2,6,6,2,5,4,75
9,MAG,MAG Mechelinki,1,1,2,5,8,9,9,9,2,2,8,2,5,5,5,8,81
10,TXT,Texet – JKW Sailing Team,3,10 (OCS),7,9,3,7,3,5,4,9,3,8,2,3,4,2,82
11,YS2,Yacht Club Sopot 2,8,4,3,6,2,4,6,6,9,6,6,4,1,9,9,4,87
12,PRN,Fundacja Żeglarska PRO NAUTIS,3,8,4,5,1,1,9,4,4,6,7,1,9,8,10,9,89
13,TBD,The Barking Dogs YCG,9,6,5,4,2,8,4,8,7,3,9,5,6,7,8,1,92
14,HAL,KŻ Hals Gostynin,4,1,9,8,6,3,6,7,5,8,5,9,7,1,8,5,92
15,OKZ,Olsztyński Klub Żeglarski,7,8,6,8,9,4,3,4,1,3,7,4,9,7,6,7,93
16,JSG,MOWI Jacht Klub Stoczni Gdańskiej,6,7,7,7,9,5,8,2,8,4,8,7,7,6,2,6,99
17,YCB,Yacht Club Białołęka,6,2,9,9,7,5,2,9,6,8,9,6,5,6,6,8,103
18,KKZ,Kościański Klub Żeglarski,9,5,4,7,7,8,1,7,9,7,6,7,8,9,7,3,104
