M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Σ
1,YCG,Yacht Club Gdańsk,1,2,8,2,6,1,8,3.00,1,3,1,36
2,NSO,Nowy Sztynort Osada Wolności GGR,1,7,3,5,7,1,3,1.00,2,4,2,36
3,YKP,YKP Gdynia,3,2,6,1,5,7,6,1.00,1,1,5,38
4,YKL,Lubelskie YKP Lublin,2,4,3,7,1,3,2,8.00,4,2,6,42
5,POG,SEJK Pogoń Szczecin,5,1,9,2,4,2,9,8.00,2,2,4,48
6,SPO,Sport Vita Ski & Sail,4,3,2,6,3,5,3,3.00,4,7,8,48
7,YKS,YKP Szczecin,6,6,7,7,4,3,1,7.00,5,3,1,50
8,HRM,HRM Racing,5,1,8,3,8,6,5,5.00,6,1,4,52
9,ONB,Onboard,8,3,4,8,3,2,4,5.00,3,9,3,52
10,NIE,KS Marina Niesulice,4,8,6,4,5,6,7,2.00,8,6,2,58
11,YCS,Yacht Club Sopot,2,5,2,9,8,4,7,4.00,6,6,7,60
12,AWF,AZS AWFiS Gdańsk,9,9,1,9,2,5,4,7.00,7,7,3,63
13,WAT,AZS WAT Warszawa,9,7,1,4,7,7,2,9.00,3,8,7,64
14,LEG,Legia Warszawa,7,11,4,5,2,4,8,4.00,7,5,9,66
15,WRO,FinGo Capital UKS Żeglarz Wrocław,7,4,7,1,9,10,5,2.00,8,9,5,67
16,RSR,On Lemon Rockstars Racing,3,5,9,3,9,8,9,6.00,5,8,6,71
17,SZT,Sztorm Grupa,8,6,5,6,6,8,1,6.00,9,8,9,72
18,ISK,KS Iskra AMW Gdynia,6,8,5,8,1,9,6,9.00,9,5,8,74
