M-sce,Skrót,Zespół,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Fi 1,Σ
1,HRM,HRM Racing,4,5,5,1,2,4,2,2,2,1,2,30
2,YCG,Yacht Club Gdańsk,1,3,1,2,2,1,6,8,6,3,3,36
3,RSR,On Lemon Rockstars Racing,3,2,3,5,1,2,4,8,7,2,1,38
4,NSO,Nowy Sztynort Osada Wolności GGR,8,3,6,3,4,4,1,4,2,3,7,45
5,YCS,Yacht Club Sopot,5,4,2,1,4,3,1,6,5,7,8,46
6,POG,SEJK Pogoń Szczecin,6,7,4,8,3,1,2,5,7,4,5,52
7,NIE,KS Marina Niesulice,2,8,1,6,8,6,9,1,5,2,6,54
8,ONB,Onboard,7,1,5,8,5,2,5,4,1,9,9,56
9,YKP,YKP Gdynia,2,1,9,6,6,5,8,3,9,4,4,57
10,LEG,Legia Warszawa,1,8,7,3,9,8,3,3,4,9,1,56
11,WAT,AZS WAT Warszawa,5,9,8,4,7,7,8,1,1,7,2,59
12,SPO,Sport Vita Ski & Sail,4,4,2,7,3,9,6,6,9,8,4,62
13,YKL,Lubelskie YKP Lublin,9,6,6,9,1,3,7,5,6,6,6,64
14,SZT,Sztorm Grupa,3,2,9,2,7,9,DNF,7,3,5,7,64
15,AWF,AZS AWFiS Gdańsk,6,9,SCP,5,8,8,5,7,3,5,3,67
16,ISK,KS Iskra AMW Gdynia,9,5,4,7,9,6,7,2,8,1,9,67
17,YKS,YKP Szczecin,8,7,3,9,5,7,3,9,4,6,8,69
18,WRO,FinGo Capital UKS Żeglarz Wrocław,7,6,8,4,6,5,4,9,8,8,5,70
