Zawodnik,Klub,Runda
Adam Bobek,Pogoń Szczecin,runda 1
Adam Kajzer,YKP Gdynia,runda 1
Adrian Kaczyński,AZS WAT Warszawa,runda 1
Aleks Michalski,Rockstars Racing,runda 1
Aleksander Waszkiewicz,UKS Albatros Wolin,runda 1
Ania Brzozowska,YKP Szczecin,runda 1
Bartek Rominiecki,Ocean Challenge Sailing Club,runda 1
Bartłomiej Wójciak,Sport Vita Ski & Sail,runda 1
Bartosz Andrzejak,AZS Politechnika Gdańska,runda 1
Bartosz Mach,Sport Vita Ski & Sail,runda 1
Damian Pietruszewski,AZS AWFiS Gdańsk,runda 1
Daniel Sokołowski,Kościański Klub Żeglarski,runda 1
Filip Ciszkiewicz,Rockstars Racing,runda 1
Filip Florek,UKS Żeglarz Wrocław,runda 1
Filip Miłoszewski skipper,HRM Racing,runda 1
Filip Śleziona,YKP Gdynia,runda 1
Igor Tarasiuk,Yacht Club Gdańsk,runda 1
Jacek Przybylak,Legia Warszawa,runda 1
Jakub Gołębiowski,HRM Racing,runda 1
Jakub Polkowski,AZS WAT Warszawa,runda 1
Jakub Rodziewicz,HRM Racing,runda 1
Jan Fursewicz,YKP Gdynia,runda 1
Janek Stremlau,Lubelskie YKP Lublin,runda 1
Julia Rogalska,UKS Albatros Wolin,runda 1
Kacper Kowalski,Nowy Sztynort Osada Wolności GGR,runda 1
Kacper Olszewski,Yacht Club Gdańsk,runda 1
Karol Górski,Yacht Club Sopot,runda 1
Karol Wojska,UKS Żeglarz Wrocław,runda 1
Karolina Skowrońska,AZS WAT Warszawa,runda 1
Karolina Żurek,Rockstars Racing,runda 1
Kasia Goralska,Ocean Challenge Sailing Club,runda 1
Konrad Kohut,AZS Politechnika Gdańska,runda 1
Krzysztof Małecki,Nowy Sztynort Osada Wolności GGR,runda 1
Krzysztof Żełudziewicz,YKP Szczecin,runda 1
Kuba Padzik,Yacht Club Gdańsk,runda 1
Kuba Pawluk,Legia Warszawa,runda 1
Łukasz Machowski,Yacht Club Sopot,runda 1
Maciej Gonerko,YKP Szczecin,runda 1
Maciej Suchecki,AZS AWFiS Gdańsk,runda 1
Magdalena Kwaśna,Lubelskie YKP Lublin,runda 1
Marcel Montrymowicz,HRM Racing,runda 1
Marcelina Korszon,HRM Racing,runda 1
Marcin Banaszek,Legia Warszawa,runda 1
Marcin Styborski,AZS Politechnika Gdańska,runda 1
Mateusz Jatczak,UKS Żeglarz Wrocław,runda 1
Mateusz Kaczmarowski,Sport Vita Ski & Sail,runda 1
Mateusz Wiśniewski,AZS AWFiS Gdańsk,runda 1
Max Pawłowski,Yacht Club Gdańsk,runda 1
Michał Korneszczuk,Sport Vita Ski & Sail,runda 1
Michał Kryński,UKS Albatros Wolin,runda 1
Michał Skrzypkiewicz,UKS Żeglarz Wrocław,runda 1
Mieszko Morawski,Kościański Klub Żeglarski,runda 1
Mikołaj Gielniak,Lubelskie YKP Lublin,runda 1
Oskar Sawicki taktyk,Pogoń Szczecin,runda 1
Patryk Richter,Lubelskie YKP Lublin,runda 1
Patryk Wojtkiewicz,Nowy Sztynort Osada Wolności GGR,runda 1
Patryk Zbroja,YKP Szczecin,runda 1
Paweł Górski,Yacht Club Sopot,runda 1
Paweł Grabowski,AZS WAT Warszawa,runda 1
Paweł Leksycki,Rockstars Racing,runda 1
Piotr Inglot,Kościański Klub Żeglarski,runda 1
Piotr Małecki,Nowy Sztynort Osada Wolności GGR,runda 1
Piotr Szlachcic,UKS Żeglarz Wrocław,runda 1
Przemek Filipowicz,Pogoń Szczecin,runda 1
Przemek Płóciennik,Ocean Challenge Sailing Club,runda 1
Przemysław Chlebowski,Yacht Club Sopot,runda 1
Przemysław Witkowski,Kościański Klub Żeglarski,runda 1
Stanisław Konarzewski,AZS Politechnika Gdańska,runda 1
Stanley Barczyński,Ocean Challenge Sailing Club,runda 1
Szymon Szymik,YKP Gdynia,runda 1
Tadeusz Kubiak,Pogoń Szczecin,runda 1
Tobiasz Zajaczkowski,Legia Warszawa,runda 1
Tomasz Micewicz,AZS AWFiS Gdańsk,runda 1
Tymon Sadowski,Lubelskie YKP Lublin,runda 1
Weronika Jaroszek,UKS Albatros Wolin,runda 1
Wiktor Plitko,Nowy Sztynort Osada Wolności GGR,runda 1
