Zawodnik,Klub,Runda
Max Pawłowski,YCG,1
Kacper Olszewski,YCG,1
Kuba Padzik,YCG,1
Igor Tarasiuk,YCG,1
Igor Tarasiuk,YCG,2
Max Pawłowski,YCG,2
Kuba Padzik,YCG,2
Kacper Olszewski,YCG,2
Igor Tarasiuk,YCG,3
Kuba Padzik,YCG,3
Max Pawłowski,YCG,3
Kacper Olszewski,YCG,3
Dominik Buksak,YCG,4
Max Pawłowski,YCG,4
Kuba Padzik,YCG,4
Kacper Olszewski,YCG,4
Hania Dzik,YCG,4
Tadeusz Kubiak ,POG,1
Oskar Sawicki taktyk,POG,1
Przemek Filipowicz ,POG,1
Adam Bobek ,POG,1
Tadeusz Kubiak,POG,2
Oskar Sawicki,POG,2
Przemek Filipowicz,POG,2
Adam Borek,POG,2
Tadeusz Kubiak,POG,3
Oskar Śleziona,POG,3
Oskar Sawicki,POG,3
Adam Borek,POG,3
Michał Kryński,POG,3
Tadeusz Kubiak,POG,4
Oskar Sawicki,POG,4
Przemek Filipowicz,POG,4
Adam Borek,POG,4
Lukasz Czajnik,POG,4
Karol Górski,YCS,1
Łukasz Machowski,YCS,1
Przemysław Chlebowski,YCS,1
Paweł Górski,YCS,1
Tytus Butowski,YCS,2
Łukasz Machowski,YCS,2
Paweł Górski,YCS,2
Przemysław Chlebowski,YCS,2
Tytus Butowski,YCS,3
Paweł Górski,YCS,3
Łukasz Machowski,YCS,3
Przemysław Chlebowski,YCS,3
Tytus Butowski,YCS,4
Łukasz Machowski,YCS,4
Paweł Górski,YCS,4
Przemysław Chlebowski,YCS,4
Ania Brzozowska,YKS,1
Maciej Gonerko,YKS,1
Patryk Zbroja,YKS,1
Krzysztof Żełudziewicz,YKS,1
Ania Brzozowska,YKS,2
Hania Dzik,YKS,2
Marcin Zubrzycki,YKS,2
Patryk Zbroja,YKS,2
Ania Brzozowska,YKS,3
Patryk Zbroja,YKS,3
Krzysztof Żełudziewicz,YKS,3
Maciej Gonerko,YKS,3
Ania Brzozowska,YKS,4
Patryk Zbroja,YKS,4
Maciej Gonerko,YKS,4
Krzysztof Żełudziewicz,YKS,4
Adam Kajzer,YKP,1
Jan Fursewicz,YKP,1
Filip Śleziona,YKP,1
Szymon Szymik,YKP,1
Adam Kajzer,YKP,2
Piotr Szwoch,YKP,2
Jan Fursewicz,YKP,2
Rafał Sawicki,YKP,2
Rafał Sawicki,YKP,3
Piotr Szwoch,YKP,3
Jan Fursewicz,YKP,3
Mariusz Klupiński,YKP,3
Przemek Zagórski,YKP,3
Szymon Szymik,YKP,4
Filip Śleziona,YKP,4
Adam Kajzer,YKP,4
Wiktor Mielnik,YKP,4
Paweł Grabowski,WAT,1
Adrian Kaczyński,WAT,1
Jakub Polkowski,WAT,1
Karolina Skowrońska,WAT,1
Paweł Grabowski,WAT,2
Jakub Polkowski,WAT,2
Karolina Skowrońska,WAT,2
Adrian Kaczyński,WAT,2
Paweł Grabowski,WAT,3
Jakub Polkowski,WAT,3
Karolina Skowrońska,WAT,3
Adrian Kaczyński,WAT,3
Paweł Grabowski,WAT,4
Karolina Skowrońska,WAT,4
Adrian Kaczyński,WAT,4
Rafał Błażejczyk,WAT,4
Filip Florek,WRO,1
Michał Skrzypkiewicz,WRO,1
Mateusz Jatczak,WRO,1
Karol Wojska,WRO,1
