ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,Trening
975171,97517,202411,SZT,
110361,11036,202411,SZT,
239461,23946,202411,SZT,
422741,42274,202411,SZT,
975172,97517,202421,SZT,
110362,11036,202421,SZT,
239462,23946,202421,SZT,
42012,4201,202421,SZT,
975173,97517,202431,SZT,
239463,23946,202431,SZT,
110363,11036,202431,SZT,
239113,23911,202431,SZT,
148263,14826,202431,SZT,
430621,43062,202411,ISK,
62261,6226,202411,ISK,
5231,523,202411,ISK,
769481,76948,202411,ISK,
184561,18456,202411,ISK,
708602,70860,202421,ISK,
973572,97357,202421,ISK,
624612,62461,202421,ISK,
184562,18456,202421,ISK,
162933,16293,202431,ISK,
184563,18456,202431,ISK,
624613,62461,202431,ISK,
708603,70860,202431,ISK,
198833,19883,202431,ISK,
992901,99290,202411,OKZ,
581631,58163,202411,OKZ,
837271,83727,202411,OKZ,
314591,31459,202411,OKZ,
992902,99290,202421,OKZ,
581632,58163,202421,OKZ,
837272,83727,202421,OKZ,
577252,57725,202421,OKZ,
156312,15631,202421,OKZ,
992903,99290,202431,OKZ,
837273,83727,202431,OKZ,
314593,31459,202431,OKZ,
916193,91619,202431,OKZ,
301891,30189,202411,NIE,
301892,30189,202421,NIE,
62512,6251,202421,NIE,
685442,68544,202421,NIE,
794812,79481,202421,NIE,
301893,30189,202431,NIE,
62513,6251,202431,NIE,
685443,68544,202431,NIE,
794813,79481,202431,NIE,
142761,14276,202411,SLA,
180311,18031,202411,SLA,
106271,10627,202411,SLA,
565021,56502,202411,SLA,
565022,56502,202421,SLA,
180312,18031,202421,SLA,
106272,10627,202421,SLA,
142762,14276,202421,SLA,
146183,14618,202431,SLA,
42763,4276,202431,SLA,
750073,75007,202431,SLA,
767233,76723,202431,SLA,
675841,67584,202411,GAR,
598291,59829,202411,GAR,
681481,68148,202411,GAR,
371411,37141,202411,GAR,
421752,42175,202421,GAR,
371412,37141,202421,GAR,
675842,67584,202421,GAR,
598292,59829,202421,GAR,
371413,37141,202431,GAR,
598293,59829,202431,GAR,
681483,68148,202431,GAR,
265143,26514,202431,GAR,
421753,42175,202431,GAR,
763791,76379,202411,YCB,
496951,49695,202411,YCB,
980481,98048,202411,YCB,
43881,4388,202411,YCB,
763792,76379,202421,YCB,
496952,49695,202421,YCB,
980482,98048,202421,YCB,
43882,4388,202421,YCB,
980483,98048,202431,YCB,
763793,76379,202431,YCB,
43883,4388,202431,YCB,
496953,49695,202431,YCB,
120841,12084,202411,NAV,
117481,11748,202411,NAV,
528781,52878,202411,NAV,
139671,13967,202411,NAV,
430322,43032,202421,NAV,
713292,71329,202421,NAV,
530392,53039,202421,NAV,
243872,24387,202421,NAV,
243873,24387,202431,NAV,
783323,78332,202431,NAV,
530393,53039,202431,NAV,
713293,71329,202431,NAV,
988941,98894,202411,JSG,
172601,17260,202411,JSG,
683711,68371,202411,JSG,
745241,74524,202411,JSG,
70111,7011,202411,JSG,
988942,98894,202421,JSG,
172602,17260,202421,JSG,
683712,68371,202421,JSG,
121592,12159,202421,JSG,
70112,7011,202421,JSG,
988943,98894,202431,JSG,
172603,17260,202431,JSG,
683713,68371,202431,JSG,
70113,7011,202431,JSG,
745243,74524,202431,JSG,
38211,3821,202411,PJK,
750261,75026,202411,PJK,
885381,88538,202411,PJK,
651961,65196,202411,PJK,
338442,33844,202421,PJK,
651962,65196,202421,PJK,
885382,88538,202421,PJK,
38212,3821,202421,PJK,
38213,3821,202431,PJK,
885383,88538,202431,PJK,
82853,8285,202431,PJK,
901063,90106,202431,PJK,
537741,53774,202411,YS2,
783881,78388,202411,YS2,
112491,11249,202411,YS2,
409581,40958,202411,YS2,
537742,53774,202421,YS2,
783882,78388,202421,YS2,
112492,11249,202421,YS2,
409582,40958,202421,YS2,
537743,53774,202431,YS2,
112493,11249,202431,YS2,
783883,78388,202431,YS2,
49323,4932,202431,YS2,
957851,95785,202411,ODY,
817371,81737,202411,ODY,
279251,27925,202411,ODY,
756141,75614,202411,ODY,
756143,75614,202431,ODY,
279253,27925,202431,ODY,
957853,95785,202431,ODY,
626153,62615,202431,ODY,
693081,69308,202411,HAL,
534691,53469,202411,HAL,
223311,22331,202411,HAL,
719181,71918,202411,HAL,
112681,11268,202411,HAL,
667001,66700,202411,HAL,
693082,69308,202421,HAL,
534692,53469,202421,HAL,
223312,22331,202421,HAL,
719182,71918,202421,HAL,
693083,69308,202431,HAL,
719183,71918,202431,HAL,
223313,22331,202431,HAL,
667003,66700,202431,HAL,
534693,53469,202431,HAL,
882151,88215,202411,ONB,
247561,24756,202411,ONB,
107061,10706,202411,ONB,
537681,53768,202411,ONB,
400251,40025,202411,ONB,
882152,88215,202421,ONB,
247562,24756,202421,ONB,
107062,10706,202421,ONB,
400252,40025,202421,ONB,
247563,24756,202431,ONB,
882153,88215,202431,ONB,
107063,10706,202431,ONB,
400253,40025,202431,ONB,
537683,53768,202431,ONB,
595402,59540,202421,MEC,
77772,7777,202421,MEC,
288052,28805,202421,MEC,
870542,87054,202421,MEC,
472932,47293,202421,MEC,
472933,47293,202431,MEC,
502043,50204,202431,MEC,
595403,59540,202431,MEC,
77773,7777,202431,MEC,
288053,28805,202431,MEC,
873311,87331,202411,BSA,
887391,88739,202411,BSA,
438591,43859,202411,BSA,
293681,29368,202411,BSA,
873312,87331,202421,BSA,
463552,46355,202421,BSA,
438592,43859,202421,BSA,
293682,29368,202421,BSA,
866422,86642,202421,BSA,
873313,87331,202431,BSA,
438593,43859,202431,BSA,
900983,90098,202431,BSA,
293683,29368,202431,BSA,
463553,46355,202431,BSA,
125761,12576,202411,ETI,
142301,14230,202411,ETI,
785051,78505,202411,ETI,
87971,8797,202411,ETI,
125762,12576,202421,ETI,
142302,14230,202421,ETI,
785052,78505,202421,ETI,
87972,8797,202421,ETI,
125763,12576,202431,ETI,
142303,14230,202431,ETI,
785053,78505,202431,ETI,
87973,8797,202431,ETI,
733071,73307,202411,YKW,
885561,88556,202411,YKW,
67611,6761,202411,YKW,
928881,92888,202411,YKW,
733072,73307,202421,YKW,
67612,6761,202421,YKW,
928882,92888,202421,YKW,
353112,35311,202421,YKW,
885563,88556,202431,YKW,
67613,6761,202431,YKW,
733073,73307,202431,YKW,
928883,92888,202431,YKW,
