ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,Trening
851171,85117,202411,YCG,
146221,14622,202411,YCG,
850771,85077,202411,YCG,
635591,63559,202411,YCG,
635592,63559,202421,YCG,
851172,85117,202421,YCG,
850772,85077,202421,YCG,
146222,14622,202421,YCG,
635593,63559,202431,YCG,
850773,85077,202431,YCG,
851173,85117,202431,YCG,
146223,14622,202431,YCG,
76434,7643,202441,YCG,
851174,85117,202441,YCG,
850774,85077,202441,YCG,
146224,14622,202441,YCG,
684124,68412,202441,YCG,
177991,17799,202411,POG,
243631,24363,202411,POG,
450281,45028,202411,POG,
94521,9452,202411,POG,
177992,17799,202421,POG,
243632,24363,202421,POG,
450282,45028,202421,POG,
298982,29898,202421,POG,
177993,17799,202431,POG,
725153,72515,202431,POG,
243633,24363,202431,POG,
298983,29898,202431,POG,
21883,2188,202431,POG,
177994,17799,202441,POG,
243634,24363,202441,POG,
450284,45028,202441,POG,
298984,29898,202441,POG,
866984,86698,202441,POG,
440431,44043,202411,YCS,
842781,84278,202411,YCS,
368451,36845,202411,YCS,
482291,48229,202411,YCS,
867502,86750,202421,YCS,
842782,84278,202421,YCS,
482292,48229,202421,YCS,
368452,36845,202421,YCS,
867503,86750,202431,YCS,
482293,48229,202431,YCS,
842783,84278,202431,YCS,
368453,36845,202431,YCS,
867504,86750,202441,YCS,
842784,84278,202441,YCS,
482294,48229,202441,YCS,
368454,36845,202441,YCS,
409111,40911,202411,YKS,
209821,20982,202411,YKS,
786831,78683,202411,YKS,
14791,1479,202411,YKS,
409112,40911,202421,YKS,
684122,68412,202421,YKS,
352692,35269,202421,YKS,
786832,78683,202421,YKS,
409113,40911,202431,YKS,
786833,78683,202431,YKS,
14793,1479,202431,YKS,
209823,20982,202431,YKS,
409114,40911,202441,YKS,
786834,78683,202441,YKS,
209824,20982,202441,YKS,
14794,1479,202441,YKS,
650841,65084,202411,YKP,
737421,73742,202411,YKP,
16721,1672,202411,YKP,
725421,72542,202411,YKP,
650842,65084,202421,YKP,
112212,11221,202421,YKP,
737422,73742,202421,YKP,
30482,3048,202421,YKP,
30483,3048,202431,YKP,
112213,11221,202431,YKP,
737423,73742,202431,YKP,
77213,7721,202431,YKP,
294553,29455,202431,YKP,
725424,72542,202441,YKP,
16724,1672,202441,YKP,
650844,65084,202441,YKP,
581674,58167,202441,YKP,
275911,27591,202411,WAT,
557961,55796,202411,WAT,
983791,98379,202411,WAT,
230511,23051,202411,WAT,
275912,27591,202421,WAT,
983792,98379,202421,WAT,
230512,23051,202421,WAT,
557962,55796,202421,WAT,
275913,27591,202431,WAT,
983793,98379,202431,WAT,
230513,23051,202431,WAT,
557963,55796,202431,WAT,
275914,27591,202441,WAT,
230514,23051,202441,WAT,
557964,55796,202441,WAT,
851704,85170,202441,WAT,
154391,15439,202411,WRO,
582181,58218,202411,WRO,
412601,41260,202411,WRO,
891471,89147,202411,WRO,
431041,43104,202411,WRO,
154392,15439,202421,WRO,
582182,58218,202421,WRO,
412602,41260,202421,WRO,
891472,89147,202421,WRO,
154393,15439,202431,WRO,
582183,58218,202431,WRO,
412603,41260,202431,WRO,
